superpop,pathway,n_genes,n_below,expected_below,fold,perm_p,q
AFR,GO:Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),61,10,5.66321460327423,1.7657815746940662,0.0541,1.0
AFR,GO:Positive Regulation Of Dendrite Extension (GO:1903861),16,4,1.4854333385637324,2.6928169014084506,0.0542,1.0
AFR,GO:Reticulophagy (GO:0061709),16,4,1.4854333385637324,2.6928169014084506,0.05445,1.0
AFR,GO:Exocytosis (GO:0006887),78,12,7.241487525498195,1.6571180931744312,0.0545,1.0
AFR,GO:Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),16,4,1.4854333385637324,2.6928169014084506,0.0545,1.0
AFR,GO:Male Meiosis I (GO:0007141),16,4,1.4854333385637324,2.6928169014084506,0.0547,1.0
AFR,GO:Facultative Heterochromatin Formation (GO:0140718),16,4,1.4854333385637324,2.6928169014084506,0.05475,1.0
AFR,GO:Inositol Lipid-Mediated Signaling (GO:0048017),30,6,2.785187509806998,2.1542535211267606,0.05485,1.0
AFR,GO:Negative Regulation Of Axon Extension (GO:0030517),30,6,2.785187509806998,2.1542535211267606,0.05495,1.0
AFR,KEGG:Melanoma,70,11,6.498770856216329,1.6926277665995977,0.05545,1.0
AFR,GO:Positive Regulation Of Peptide Hormone Secretion (GO:0090277),45,8,4.1777812647104975,1.9148920187793428,0.05545,1.0
AFR,GO:Positive Regulation Of Myoblast Differentiation (GO:0045663),38,7,3.5279041790888646,1.9841808747220162,0.0557,1.0
AFR,GO:Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),86,13,7.9842041947800615,1.6282148706190633,0.056,1.0
AFR,GO:Activin Receptor Signaling Pathway (GO:0032924),16,4,1.4854333385637324,2.6928169014084506,0.05605,1.0
AFR,GO:Positive Regulation Of Voltage-Gated Potassium Channel Activity (GO:1903818),10,3,0.9283958366023327,3.231380281690141,0.05645,1.0
AFR,GO:Amyloid Fibril Formation (GO:1990000),23,5,2.135310424185365,2.3415799142682183,0.05685,1.0
AFR,GO:Regulation Of Synapse Maturation (GO:0090128),10,3,0.9283958366023327,3.231380281690141,0.0569,1.0
AFR,GO:Regulation Of Muscle System Process (GO:0090257),10,3,0.9283958366023327,3.231380281690141,0.0576,1.0
AFR,GO:Negative Regulation Of mRNA Catabolic Process (GO:1902373),38,7,3.5279041790888646,1.9841808747220162,0.05775,1.0
AFR,GO:Negative Regulation Of Centrosome Duplication (GO:0010826),10,3,0.9283958366023327,3.231380281690141,0.0578,1.0
AFR,GO:Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),23,5,2.135310424185365,2.3415799142682183,0.0588,1.0
AFR,GO:Positive Regulation Of Intracellular Protein Transport (GO:0090316),122,17,11.32642920654846,1.5009143384899561,0.05935,1.0
AFR,GO:Negative Regulation Of Amyloid Fibril Formation (GO:1905907),10,3,0.9283958366023327,3.231380281690141,0.0594,1.0
AFR,GO:Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),38,7,3.5279041790888646,1.9841808747220162,0.0594,1.0
AFR,GO:Midbrain Dopaminergic Neuron Differentiation (GO:1904948),10,3,0.9283958366023327,3.231380281690141,0.05955,1.0
AFR,GO:Mesonephros Development (GO:0001823),10,3,0.9283958366023327,3.231380281690141,0.05975,1.0
AFR,GO:Histone Modification (GO:0016570),71,11,6.591610439876562,1.6687879389010118,0.06005,1.0
AFR,GO:Carbohydrate Catabolic Process (GO:0016052),38,7,3.5279041790888646,1.9841808747220162,0.06015,1.0
AFR,GO:Cristae Formation (GO:0042407),10,3,0.9283958366023327,3.231380281690141,0.0606,1.0
AFR,KEGG:Signaling pathways regulating pluripotency of stem cells,140,19,12.997541712432659,1.461814889336016,0.06075,1.0
AFR,GO:Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010665),10,3,0.9283958366023327,3.231380281690141,0.0609,1.0
AFR,GO:Semaphorin-Plexin Signaling Pathway (GO:0071526),31,6,2.8780270934672316,2.0847614720581555,0.06125,1.0
AFR,GO:Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),422,49,39.17830430461844,1.2506922101328348,0.0618,1.0
AFR,GO:Protein Deacetylation (GO:0006476),31,6,2.8780270934672316,2.0847614720581555,0.06275,1.0
AFR,GO:Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),17,4,1.5782729222239658,2.5344159072079533,0.06285,1.0
AFR,GO:Endodermal Cell Differentiation (GO:0035987),31,6,2.8780270934672316,2.0847614720581555,0.0635,1.0
AFR,GO:Negative Regulation Of Chemotaxis (GO:0050922),31,6,2.8780270934672316,2.0847614720581555,0.06435,1.0
AFR,GO:Motile Cilium Assembly (GO:0044458),17,4,1.5782729222239658,2.5344159072079533,0.06445,1.0
AFR,GO:Regulation Of DNA-templated DNA Replication (GO:0090329),17,4,1.5782729222239658,2.5344159072079533,0.06495,1.0
AFR,KEGG:Cocaine addiction,47,8,4.363460432030964,1.833407252022775,0.06505,1.0
AFR,GO:Calcium-Ion Regulated Exocytosis (GO:0017156),24,5,2.2281500078455987,2.244014084507042,0.06545,1.0
AFR,GO:protein-RNA Complex Assembly (GO:0022618),141,19,13.090381296092891,1.4514474078513635,0.06545,1.0
AFR,GO:Lysosomal Lumen Acidification (GO:0007042),17,4,1.5782729222239658,2.5344159072079533,0.0656,1.0
AFR,GO:G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,4,1.5782729222239658,2.5344159072079533,0.06575,1.0
AFR,GO:Epigenetic Regulation Of Gene Expression (GO:0040029),80,12,7.427166692818662,1.6156901408450706,0.06575,1.0
AFR,GO:Negative Regulation Of Striated Muscle Cell Differentiation (GO:0051154),17,4,1.5782729222239658,2.5344159072079533,0.06585,1.0
AFR,GO:Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),24,5,2.2281500078455987,2.244014084507042,0.0662,1.0
