pathway,n_genes,n_below,expected_below,fold_enrichment,mean_rank_pct,perm_p,q_value,significant_fdr05
GO_BP:Positive Regulation Of Mitochondrial Calcium Ion Concentration (GO:0051561),7,3,0.6531455200169456,4.5931571266418025,29.081811536160263,0.02190978090219098,1.0,False
GO_BP:Endoplasmic Reticulum Organization (GO:0007029),53,10,4.945244651556874,2.0221446469492212,41.04047684505345,0.022759772402275977,1.0,False
GO_BP:protein-DNA Complex Assembly (GO:0065004),53,10,4.945244651556874,2.0221446469492212,36.321005010590355,0.022999770002299975,1.0,False
KEGG:Pyruvate metabolism,46,9,4.292099131539928,2.0968760795538666,45.87926228728032,0.024419755802441975,1.0,False
KEGG:Carbohydrate digestion and absorption,46,9,4.292099131539928,2.0968760795538666,46.511709834058195,0.025009749902500975,1.0,False
GO_BP:Positive Regulation Of Erythrocyte Differentiation (GO:0045648),25,6,2.3326625714890916,2.5721679909194095,33.005885267396465,0.025059749402505976,1.0,False
GO_BP:Organelle Membrane Fusion (GO:0090174),25,6,2.3326625714890916,2.5721679909194095,41.34833051970873,0.025089749102508975,1.0,False
GO_BP:Positive Regulation Of Notch Signaling Pathway (GO:0045747),32,7,2.985808091506037,2.3444239500567536,44.43327046967959,0.025349746502534975,1.0,False
GO_BP:Positive Regulation Of Protein Catabolic Process (GO:0045732),85,14,7.931052743062911,1.7652133271015555,40.46459688851723,0.025389746102538975,1.0,False
KEGG:Base excision repair,32,7,2.985808091506037,2.3444239500567536,44.88281623068181,0.026279737202627974,1.0,False
GO_BP:Regulation Of Megakaryocyte Differentiation (GO:0045652),19,5,1.7728235543317095,2.8203596391660195,35.83465064502386,0.026309736902630974,1.0,False
GO_BP:Cortical Actin Cytoskeleton Organization (GO:0030866),19,5,1.7728235543317095,2.8203596391660195,38.945085186756636,0.026399736002639975,1.0,False
GO_BP:Cellular Response To Catecholamine Stimulus (GO:0071870),19,5,1.7728235543317095,2.8203596391660195,57.57185681258607,0.027209727902720974,1.0,False
GO_BP:DNA Replication (GO:0006260),70,12,6.5314552001694555,1.8372628506567212,43.87034631321144,0.02908970910290897,1.0,False
GO_BP:Skeletal Muscle Tissue Development (GO:0007519),40,8,3.7322601143825462,2.1434733257661747,39.16421829925691,0.02948970510294897,1.0,False
GO_BP:Protein Acylation (GO:0043543),33,7,3.079114594365601,2.2733808000550337,45.805192937544064,0.03006969930300697,1.0,False
GO_BP:Chromatin Organization (GO:0006325),243,32,22.673480194873967,1.411340461409827,40.86412882776079,0.03045969540304597,1.0,False
GO_BP:Epithelial Cell Differentiation (GO:0030855),129,19,12.036538868883712,1.5785268678122992,51.512975275703894,0.031269687303126965,1.0,False
GO_BP:Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719),8,3,0.7464520228765092,4.019012485811578,36.21793240084154,0.03137968620313797,1.0,False
GO_BP:Regulation Of Endothelial Cell Differentiation (GO:0045601),8,3,0.7464520228765092,4.019012485811578,44.918778268158,0.03176968230317697,1.0,False
GO_BP:Selective Autophagy (GO:0061912),56,10,5.225164160135565,1.9138154694340845,47.05987939991712,0.03353966460335397,1.0,False
GO_BP:peptidyl-L-cysteine S-palmitoylation (GO:0018230),20,5,1.8661300571912731,2.6793416572077184,50.829455694780464,0.033799662003379964,1.0,False
GO_BP:peptidyl-S-diacylglycerol-L-cysteine Biosynthetic Process From Peptidyl-Cysteine (GO:0018231),20,5,1.8661300571912731,2.6793416572077184,50.829455694780464,0.03393966060339396,1.0,False
GO_BP:Regulation Of Spindle Organization (GO:0090224),20,5,1.8661300571912731,2.6793416572077184,37.17254459928863,0.03407965920340797,1.0,False
GO_BP:Positive Regulation Of Transmembrane Transport (GO:0034764),14,4,1.3062910400338912,3.062104751094535,40.12877388290241,0.03443965560344397,1.0,False
KEGG:Tyrosine metabolism,34,7,3.1724210972251643,2.2065166588769447,44.522825215418564,0.03460965390346096,1.0,False
GO_BP:Regulation Of mRNA Processing (GO:0050684),34,7,3.1724210972251643,2.2065166588769447,38.47524740978646,0.034869651303486966,1.0,False
GO_BP:Protein Insertion Into Mitochondrial Membrane (GO:0051204),27,6,2.5192755772082185,2.381637028629083,37.89215450036796,0.035219647803521964,1.0,False
GO_BP:Oligodendrocyte Development (GO:0014003),14,4,1.3062910400338912,3.062104751094535,32.1566999576201,0.03540964590354097,1.0,False
GO_BP:Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717),14,4,1.3062910400338912,3.062104751094535,40.67305361449672,0.03555964440355597,1.0,False
GO_BP:Cholesterol Metabolic Process (GO:0008203),65,11,6.064922685871638,1.8137081987252246,48.82789496274026,0.03651963480365197,1.0,False
GO_BP:Chromosome Organization (GO:0051276),42,8,3.9188731201016735,2.041403167396357,37.61148612274732,0.037179628203717965,1.0,False
GO_BP:Regulation Of Erythrocyte Differentiation (GO:0045646),35,7,3.2657276000847277,2.1434733257661747,33.61773647367041,0.03984960150398496,1.0,False
GO_BP:Extrinsic Apoptotic Signaling Pathway (GO:0097191),66,11,6.158229188731202,1.7862277714718122,47.07036380919521,0.04011959880401196,1.0,False
GO_BP:Mitochondrial Gene Expression (GO:0140053),99,15,9.237343783096803,1.6238434286107384,42.300557883264574,0.04058959410405896,1.0,False
GO_BP:Positive Regulation Of Viral Genome Replication (GO:0045070),28,6,2.6125820800677824,2.2965785633209013,39.57895809575166,0.04062959370406296,1.0,False
GO_BP:Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),35,7,3.2657276000847277,2.1434733257661747,35.87242497888682,0.04089959100408996,1.0,False
GO_BP:Protein K48-linked Deubiquitination (GO:0071108),21,5,1.9594365600508368,2.551753959245446,36.80866872601167,0.04102958970410296,1.0,False
KEGG:Systemic lupus erythematosus,116,17,10.823554331709385,1.5706485576734899,42.09134896697046,0.04150958490415096,1.0,False
GO_BP:Homologous Chromosome Pairing At Meiosis (GO:0007129),28,6,2.6125820800677824,2.2965785633209013,44.27948035586035,0.04153958460415396,1.0,False
GO_BP:Brain Development (GO:0007420),151,21,14.089281931794112,1.4904946967248236,49.208062173270086,0.04330956690433096,1.0,False
